ano;mes;amazonia;caatinga;cerrado;mata_atlantica;pampa;pantanal;total_mensal;presidente;date
2013; 9; 9103; 6688; 40526;2582;  30; 2878; 61807;dilma;set 2013
2013;10; 4323; 7512; 16287; 791;  15; 1133; 30061;dilma;out 2013
2013;11; 3166; 6701;  1954; 208;  17; 1005; 13051;dilma;nov 2013
2013;12; 2616; 3272;   754; 139;  14;  341;  7136;dilma;dez 2013
2014; 1; 2354;  215;   380;  63;   3;   58;  3073;dilma;jan 2014
2014; 2;  981;   15;   142; 155;   9;   74;  1376;dilma;fev 2014
2014; 3; 1001;   41;   230; 128;  14;    8;  1422;dilma;mar 2014
2014; 4;  343;  126;   969; 122;  36;   99;  1695;dilma;abr 2014
2014; 5; 1094;  209;  3682; 411;  57;    8;  5461;dilma;mai 2014
2014; 6; 2177;  757; 10303;1236;  31;   72; 14576;dilma;jun 2014
2014; 7; 2590; 1356; 19028;1535; 376;  109; 24994;dilma;jul 2014
2014; 8;15773; 2165; 44321;3276; 217;  268; 66020;dilma;ago 2014
2014; 9;11967; 5923; 47939;2856;   6;  521; 69212;dilma;set 2014
2014;10; 9391; 8193; 39817;4391;  13;  775; 62580;dilma;out 2014
2014;11; 8257; 6105;  3326;  91;   0;  176; 17955;dilma;nov 2014
2014;12; 5396; 2954;   619;  58;   0;   23;  9050;dilma;dez 2014
2015; 1; 2137;  706;   721; 260;   4;  112;  3940;dilma;jan 2015
2015; 2; 1474;   59;   149; 145;   2;   69;  1898;dilma;fev 2015
2015; 3;  338;   52;   347; 221;  24;   19;  1001;dilma;mar 2015
2015; 4;  552;  331;   785; 238; 144;   44;  2094;dilma;abr 2015
2015; 5;  514;  361;  2352; 435; 614;   54;  4330;dilma;mai 2015
2015; 6; 1434;  975;  8156;1262; 260;  507; 12594;dilma;jun 2015
2015; 7; 2589; 1325; 13887; 507; 111;  279; 18698;dilma;jul 2015
2015; 8;15365; 3623; 31122;2498; 148; 1985; 54741;dilma;ago 2015
2015; 9;21624; 9797; 59355;2650;  30; 2478; 95934;dilma;set 2015
2015;10;16010;10872; 54654;2734;  12; 1057; 85339;dilma;out 2015
2015;11;17602;12064; 12162;1796;   0;  405; 44029;dilma;nov 2015
2015;12;14038; 7378;  6816; 833;   1;  862; 29928;dilma;dez 2015
2016; 1; 6082;  393;   114; 131;   6;   17;  6743;dilma;jan 2016
2016; 2; 1005;   34;   572; 133;  19;   37;  1800;dilma;fev 2016
2016; 3; 2948;   58;   679; 374;  13;    6;  4078;dilma;mar 2016
2016; 4;  911;   79;  2748; 982;   8;   41;  4769;dilma;abr 2016
2016; 5; 1585;  334;  6205; 873;  61;  103;  9161;temer;mai 2016
2016; 6; 2175;  603; 11257;2276; 671;  159; 17141;temer;jun 2016
2016; 7; 4514; 1428; 21514;7174; 323; 1056; 36009;temer;jul 2016
2016; 8;15462; 2583; 40110;3175; 328; 2166; 63824;temer;ago 2016
2016; 9;13415; 3732; 41613;2347;  46; 4656; 65809;temer;set 2016
2016;10; 7007;10305; 18874; 839;  34; 2594; 39653;temer;out 2016
2016;11; 7131;10512;  6515; 189;   4;  329; 24680;temer;nov 2016
2016;12; 2904; 3248;   941; 115;  14;   81;  7303;temer;dez 2016
2017; 1;  616;  442;   225; 161;   7;  374;  1825;temer;jan 2017
2017; 2;  343;   26;   262; 189;  12;   69;   901;temer;fev 2017
2017; 3;  131;  103;   574; 111;   5;   87;  1011;temer;mar 2017
2017; 4;  309;   81;  1021;  74;  23;   30;  1538;temer;abr 2017
2017; 5;  898;  179;  3727; 200;  90;  114;  5208;temer;mai 2017
2017; 6; 1375;  240;  6619; 830; 283;  171;  9518;temer;jun 2017
2017; 7; 4534;  593; 11181;4763; 942;  829; 22842;temer;jul 2017
2017; 8;17630; 1648; 28321;3516; 188; 2162; 53465;temer;ago 2017
2017; 9;34057; 3148; 65019;3808;  15; 4763;110810;temer;set 2017
2017;10; 9596;12303; 37656;2425;  12; 1036; 63028;temer;out 2017
2017;11;12834; 6556;  2437;  99;  12;  187; 22125;temer;nov 2017
2017;12; 8917; 4385;  1310;  84;  19;    7; 14722;temer;dez 2017
2018; 1; 2133;  637;   192;  27;  17;   22;  3028;temer;jan 2018
2018; 2; 1260;   14;    34;  51;  21;    0;  1380;temer;fev 2018
2018; 3; 1388;   53;   633; 330;  32;    7;  2443;temer;mar 2018
2018; 4;  617;   28;   603; 308;  76;   11;  1643;temer;abr 2018
2018; 5;  896;  149;  3354;1352; 130;   53;  5934;temer;mai 2018
2018; 6; 1605;  615;  7087;1951;  93;   86; 11437;temer;jun 2018
2018; 7; 3606; 1309; 10910;4123;  85;  318; 20351;temer;jul 2018
2018; 8; 6048; 2700; 19082;1674; 125;  669; 30298;temer;ago 2018
2018; 9;12852; 7616; 33255;2153;   4; 1583; 57463;temer;set 2018
2018;10; 6533; 5047;  8632;1106;  19;  113; 21450;temer;out 2018
2018;11; 4889; 5922;  1155;  84;   5;    3; 12058;temer;nov 2018
2018;12; 1344; 1342;   437; 136;   8;  229;  3496;temer;dez 2018
2019; 1; 2983;  120;   508; 270;   4;  531;  4416;bolsonaro;jan 2019
2019; 2; 1598;   23;   316; 290;  15;  538;  2780;bolsonaro;fev 2019
2019; 3; 5279;   37;   395; 337;  32;  103;  6183;bolsonaro;mar 2019
2019; 4; 1913;   16;   817; 134;  55;  126;  3061;bolsonaro;abr 2019
2019; 5;  812;  252;  3757; 193;  25;   73;  5112;bolsonaro;mai 2019
2019; 6; 1763;  357;  8458;1593; 184;  342; 12697;bolsonaro;jun 2019
2019; 7; 4281; 1518; 12898;3323; 712;  846; 23578;bolsonaro;jul 2019
2019; 8;24944; 3397; 36549;4437; 260; 3913; 73500;bolsonaro;ago 2019
2019; 9;16253; 6723; 58976;4443;  59; 6476; 92930;bolsonaro;set 2019
2019;10; 5366;18494; 18548;2523;  21; 5188; 50140;bolsonaro;out 2019
2019;11; 5455;15858;  5087;1401;  13; 2317; 30131;bolsonaro;nov 2019
2019;12; 1803; 8389;  1902; 461;  16;  380; 12951;bolsonaro;dez 2019
2020; 1; 1580;  434;   214; 481;  19;  436;  3164;bolsonaro;jan 2020
2020; 2; 2787;   45;   247; 160;  26;  156;  3421;bolsonaro;fev 2020
2020; 3; 1658;    8;   697; 239; 200; 1036;  3838;bolsonaro;mar 2020
2020; 4; 1480;   61;  2383;2979;4424; 2058; 13385;bolsonaro;abr 2020
